Id,time,timestep,maxtimestep,icao24,outliers,callsign,heading,baroaltitude,lat,lon,velocity,vertratecorr,baroaltitudeanalysis,dbaroaltitudeanalysis,tasanalysis,dtasanalysis,baroaltitudekalman,taskalman,segment,modeltype,operator,ukalman,vkalman,tempkalman,temp_surfacekalman,temp1000kalman,temp2000kalman,temp3000kalman,temp4000kalman,temp5000kalman,temp6000kalman,temp7000kalman,temp8000kalman,temp9000kalman,temp10000kalman,temp11000kalman,tempanalysis,target_cas1,target_cas2,target_Mach,mseSpeed,n_cas1,n_cas2,n_mach,fromICAO,toICAO,distance_from_dep,trip_distance,massPast,mseEnergyRatePast,massFutur,mseEnergyRateFutur,u,v,temp,tas
1,1504224001,0,1095,226,0.0230414746544,10959,119.02405699,3550.93528475,52.311398888,-1.36339609702,187.677124985,7.80288,3538.22048585,10.1314526693,186.231808288,0.12290487051,3550.93511484,185.20535088,378178,3,36,2.90662384824,0.131021165695,263.973328692,285.329426568,256.881057074,250.127434243,242.45885546,234.477132811,227.598245452,224.024703763,224.368136317,226.515064884,226.224008831,225.377183569,224.708253622,264.053777297,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,30535.6,2.39534e+06,,,79979.3,5.1847,2.90662387397,0.131021184399,263.973327618,185.205371706
2,1504224016,15,1095,226,0.0230414746544,10959,119.324158836,3672.97661451,52.2973862456,-1.32222814875,191.176693359,9.10627444284,3692.93211349,10.7386614806,187.967143415,0.0985457648971,3663.91269523,188.125678397,378178,3,36,2.95386350455,0.172698526162,263.197995737,285.414015452,256.075995534,249.276076926,241.526383734,233.629393881,226.940470156,224.005331503,224.615384577,226.743547202,226.127680315,225.297818884,224.642546218,262.989390907,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,33736.8,2.39534e+06,,,79660.5,4.59282,2.94865381854,0.169615818024,263.132772077,188.695656756
3,1504224031,30,1095,226,0.0230414746544,10959,120.567160793,3871.23268225,52.2843776236,-1.28528053074,191.191228326,12.9989827788,3861.81207105,11.5173818652,189.141567587,0.0696513256876,3849.21224207,188.668043331,378178,3,36,2.91512019508,0.171438808368,261.879291517,285.488251315,254.776649043,247.852054753,240.025611257,232.255942114,225.86592598,223.972532389,225.025868079,226.917460194,225.968499508,225.172404235,224.534506183,261.790294323,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,36635.6,2.39534e+06,,,79393.5,4.21232,2.90190491914,0.164527804196,261.723830107,188.783189697
4,1504224046,45,1095,226,0.0230414746544,10959,121.63325878,4031.00327918,52.2713883329,-1.24976081608,192.745431655,10.24316737,4031.1626681,11.0202154931,190.279112291,0.0797929223164,4016.74128662,189.921935847,378178,3,36,2.87491161417,0.181993311215,260.706713232,285.558135823,253.63160192,246.590612973,238.701191061,231.045979546,224.909697727,223.937408241,225.392861762,226.754237524,225.828581764,225.061926981,224.439210091,260.606536406,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,39450.8,2.39534e+06,,,79186.8,4.09565,2.86598854612,0.177868084622,260.607642753,190.405741662
5,1504224061,60,1095,226,0.0230414746544,10959,122.467878078,4191.,52.2572021484,-1.2133026123,193.901628767,11.05408,4194.84131247,10.9045537189,191.419674358,0.0707000598244,4174.57939003,191.280430736,378178,3,36,2.83407385824,0.206074387344,259.618313871,285.62835904,252.569389665,245.424356482,237.482557592,229.981011035,224.078779133,223.897936281,225.734716112,226.604792005,225.700352661,224.960399909,224.351437285,259.479777443,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,42390.2,2.39534e+06,,,78964.4,3.95491,2.8233529138,0.201738905928,259.506018715,191.635301367
6,1504224076,75,1095,226,0.0230414746544,10959,122.808017441,4358.7674997,52.2432730469,-1.177861335,194.640076059,11.384639987,4360.06505487,11.1066386298,192.401247016,0.0619901035278,4339.60905887,192.281477246,378178,3,36,2.84973379072,0.243791127964,258.417245065,285.6950275,251.47481381,244.227900702,236.192861834,228.967905425,224.046776118,223.851901998,226.088593954,226.451640134,225.56895769,224.856202312,224.261403151,258.267508079,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,45256.4,2.39534e+06,,,78716.3,3.81862,2.84708241758,0.240633862143,258.276996443,192.385424019
7,1504224091,90,1095,226,0.0230414746544,10959,122.979652984,4526.28,52.2289581299,-1.14151000977,195.630817356,10.40384,4524.87805288,10.7463627995,193.369002999,0.0696925480956,4511.19089626,193.010732307,378178,3,36,2.88662234864,0.283038372606,257.172045082,285.761869018,250.353894848,242.796670357,234.880118786,227.92862913,224.007606525,224.189333139,226.452668308,226.296138527,225.435536555,224.750212506,224.169811618,257.073695596,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,48198.7,2.39534e+06,,,78520.5,3.75358,2.88474152105,0.28046440803,257.063629985,193.372009682
8,1504224106,105,1095,226,0.0230414746544,10959,123.023867556,4686.30761184,52.2144322467,-1.1054576311,196.342457381,10.4035152283,4681.16486535,10.1007046957,194.513592877,0.0826624787436,4669.98377651,193.953069184,378178,3,36,2.93040911949,0.322124350689,256.041222892,285.826486101,249.2008505,241.497752446,233.695325585,226.98064107,223.965025605,224.554857345,226.786814669,226.156029956,225.318830098,224.654388865,224.086879125,255.962274545,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,51136.7,2.39534e+06,,,78329.2,3.68822,2.92861442823,0.319246122168,255.925994019,194.069914006
9,1504224121,120,1095,226,0.0230414746544,10959,123.360311285,4824.07724289,52.2000326425,-1.069085705,198.330005201,9.09666306143,4830.15857738,9.90021800825,195.77765161,0.0812230084388,4810.76450348,195.659472803,378178,3,36,2.98183254581,0.362354127679,255.056072087,285.89014006,248.118589975,240.37132122,232.67074468,226.151128026,223.920632603,224.876105425,226.999515733,226.035055798,225.222870626,224.571364963,224.014903696,254.921332654,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,54086.7,2.39534e+06,,,78120.6,3.50839,2.98057734305,0.359932439258,254.963552155,196.048063768
10,1504224136,135,1095,226,0.0230414746544,10959,123.731110341,4975.93658466,52.1854657035,-1.03331305811,199.182858151,11.7035051443,4979.97554744,9.95414424666,196.907711276,0.0748706021873,4959.62921207,196.918542804,378178,3,36,3.08405444878,0.445447767198,254.027061837,285.951006435,246.993499922,239.205392509,231.609958897,225.28221059,223.867823586,225.215957286,226.853088768,225.909348141,225.122978258,224.484958671,223.940016075,253.887061718,,158.324188889,0.777921741267,1.03120085426,0,41,30,33,683,57012.5,2.39534e+06,83404.9,6.67976,77931.3,3.262,3.09070118884,0.450408270484,253.914828725,196.87368088
